artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
111422,"Ist L 07485","ITT 4, 07485","Delaporte1912ITT4; Lambert1961RA55","primary; history","7485; 141 45","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šulgi.33.00.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S004599,,,,,0,,0,,0,,0,,BDTNS,002991," ",0,0,,,0,0,0,0,,
114515,"Ist L 07005","MVN 06, 005","Delaporte1912ITT4; Pettinato1977MVN6","history; primary","7005; 5","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,020171," ",0,0,,,0,0,0,0,,
114516,"Ist L 07006","MVN 06, 006","Delaporte1912ITT4; Pettinato1977MVN6","history; primary","7006; 6","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.38.08.00 (us2 year), Šulgi.38.10.00 (us2 year)","Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,020172," ",0,0,,,0,0,0,0,,
114517,"Ist L 07007","MVN 06, 007","Delaporte1912ITT4; Pettinato1977MVN6","history; primary","7007; 7","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.09.01.00 (us2 year)","Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,020173," ",0,0,,,0,0,0,0,,
114518,"Ist L 07008","MVN 06, 008","Delaporte1912ITT4; Pettinato1977MVN6","history; primary","7008; 8","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.38.01.00 (us2 year), Šulgi.38.04.00 (us2 year)","Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,020174," ",0,0,,,0,0,0,0,,
114519,"Ist L 07009","MVN 06, 009","Delaporte1912ITT4; Pettinato1977MVN6","history; primary","7009; 9","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šulgi.48.00.04,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,020175," ",0,0,,,0,0,0,0,,
114520,"Ist L 07010","MVN 06, 010","Delaporte1912ITT4; Englund1990Fischerei; Maiocchi2020AGGT; Pettinato1977MVN6","history; citation; history; primary","7010; p. 122 n. 395, p. 139; 380; 10","; ; ; ","Girsu (mod. Tello)","Lagash II (ca. 2200-2100 BC)",--.--.00.04,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,020176," ",0,0,,,0,0,0,0,,
114521,"Ist L 07011","MVN 06, 011","Delaporte1912ITT4; Nelson1976pisandubba; Pettinato1977MVN6","history; history; primary","7011; no. 029; 11","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šulgi.34.00.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tag,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,020177,"pisan-dub-ba ",0,0,,,0,0,0,0,,
114522,"Ist L 07014","MVN 06, 014","Delaporte1912ITT4; Lambert1961RA55; Pettinato1977MVN6","history; history; primary","7014; 141 36; 14","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.35.09.00 (us2 year), Šulgi.35.10.00 (us2 year)","Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,020180," ",0,0,,,0,0,0,0,,
114523,"Ist L 07015","MVN 06, 015","Delaporte1912ITT4; Maekawa1987labor; Pettinato1977MVN6","history; citation; primary","7015; p. 65; 15","; (alternate months 6, 8, 10, 12, 11!); ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.37.04.00, Šulgi.37.06.00, Šulgi.37.08.00, Šulgi.37.10.00, Šulgi.37.11.00, Šulgi.37.12.00","Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,020181," ",0,0,,,0,0,0,0,,
114524,"Ist L 07016","MVN 06, 016","Delaporte1912ITT4; Pettinato1977MVN6","history; primary","7016; 16","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.32.08.00, Šulgi.32.09.00","Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,"SH25 SH44 IS03",BDTNS,020182," ",0,0,,,0,0,0,0,,
