artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
238850,"BM —","CT 14, pl. 23, K 09283",Thompson1902CT14,primary,"pl. 23, K 09283",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 09283",,,,0,,0,,0,,0,,"eBL; AsbP; BM","K.9283; P238850; W_K-9283"," explanatory - list of plants",0,0,,,0,0,0,0,,
247811,"BM 093074","CT 14, pl. 12, BM 093074","Landsberger1962MSL8/2; sec45501; Thompson1902CT14","history; history; primary","095 A; ; pl. 12, BM 093074","; ; ",,"Neo-Babylonian (ca. 626-539 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,,,,,,,,,,,,,"fragment of multi-column tablet",,0,,0,"fragment of multi-column tablet",0,,0,,"eBL; DCCLT; ARMEP; BM","BM.93074; P247811; P247811; W_1885-0430-229","Q000093 = ur5-ra 18 ",0,,,,0,0,0,0,,
247814,"BM 091012 +","CT 14, pl. 13, BM 091012","Landsberger1962MSL8/2; Thompson1902CT14","history; primary","95 D; pl. 13, BM 091012","; ","Sippar-Yahrurum (mod. Tell Abu Habbah)","Neo-Babylonian (ca. 626-539 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,,,,,,,,,,,"1882-09-18, 07496 + 1882-09-18, 10906",,,,1,,0,,0,,0,,"eBL; DCCLT; ARMEP","BM.91012; P247814; P247814","Q000093 = ur5-ra 18 ",0,,,,0,0,0,0,,
247816,"BM 036669 + BM 037958","JRAS 1911, 1058","Landsberger1962MSL8/2; Pinches1911JRAS; Thompson1902CT14","history; primary; history","095 F; 1058; 12","; ; BM 36669 only",,"Neo-Babylonian (ca. 626-539 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"1880-06-17, 0401 + 1880-06-17, 1787",,,,0,,0,,0,,0,,"eBL; DCCLT; ARMEP; BM","BM.36669; P247816; P247816; W_1880-0617-401","Q000093 = ur5-ra 18 ",0,0,,,0,0,0,0,,
247823,"BM 093079","CDLI Literary 002701.01, ex. 022 & 002718.01, ex. 030","Civil1959MSL7; Kämmerer2012AOAT375; LambertWG2013MC16; Landsberger1962MSL8/2; Landsberger1970MSL10; Oshima2014PoemsPious; Thompson1902CT14","history; history; history; history; history; history; history","006 S21; pl. 7; 048 + pl. 08 BM 093079; 095 S2; 081 S1; pl. 07 text I:v; pl. 11 BM 093079","; ; ; ; ; ; ","Sippar-Yahrurum (mod. Tell Abu Habbah)","Neo-Babylonian (ca. 626-539 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,"Akkadian; Sumerian",,,,,,,"1882-09-18, 05555",,,,1,,0,,0,,1,,"eBL; CAMS/Ludlul; ARMEP; BM","BM.93079; P247823; P247823; W_1882-0918-5555",,,"0; 0",,,0,0,0,0,,
247825,"BM 036785","CT 14, pl. 12, BM 036785","Gesche2000AOAT275; Landsberger1962MSL8/2; Thompson1902CT14","history; history; primary","676; 95 S5; pl. 12, BM 036785","; ; ",,"Neo-Babylonian (ca. 626-539 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"1880-06-17, 0523",,,,0,,0,,0,,1,,"eBL; DCCLT; ARMEP; BM","BM.36785; P247825; P247825; W_1880-0617-523","""Q000093 = ur5-ra 18; Q000094 = ur5-ra 19 """,0,0,,,0,0,0,0,,
349423,"BM 036331","AOAT 275, 236, BM 036331","Gesche2000AOAT275; Thompson1902CT14","primary; history","236, BM 036331; pl. 48, BM 036331","; ",,"Neo-Babylonian (ca. 626-539 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,,,,"Akkadian; Sumerian",,,,,,,"1880-06-17, 0057",,,,0,,0,,0,,1,,"eBL; BM","BM.36331; W_1880-0617-57",,0,"0; 0",,,0,0,0,0,,
349444,"BM 036481","AOAT 275, 264, BM 036481","Gesche2000AOAT275; Thompson1902CT14","primary; history","264, BM 036481; pl. 49, BM 036481","; ",,"Neo-Babylonian (ca. 626-539 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"1880-06-17, 0208",,,,0,,0,,0,,1,,"eBL; BM","BM.36481; W_1880-0617-208",,0,0,,,0,0,0,0,,
349862,"BM —","CT 14, pl. 15-16, K 00240 +","Landsberger1970MSL10; sec88653; Thompson1902CT14","history; history; primary","069 A; ; pl. 15-16, K 00240 +","; ; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,Good,,50%,Akkadian,,,,,,,"K 00240 + K 04585a + K 05950",,,,0,,0,,0,,0,,"eBL; eBL; ARMEP; AsbP","K.240; K.5950; P349862; P349862","malku-sharru 9? stones",0,0,,,0,0,0,0,,
349863,"BM —","CT 14, pl. 17, K 04232","Landsberger1970MSL10; Thompson1902CT14","history; primary","069 B; pl. 17, K 04232","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,,,50%,Akkadian,,,,,,,"K 04232",,,,0,,0,,0,,0,,"eBL; ARMEP; AsbP; BM","K.4232; P349863; P349863; W_K-4232","malku-sharru 9? stones",0,0,,,0,0,0,0,,
349864,"BM —","CT 14, pl. 27, K 04377 + ","Rawlinson1861-1884; Thompson1902CT14","history; primary","2R 29, 5; pl. 27, K 04377 +","credit Norris; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,,,fragment,Akkadian,,,,,,,"K 04377 + K 04380 + K 08827",P346011P346011,,,0,,0,,0,,0,,"eBL; eBL; eBL; DCCLT/Nineveh; ARMEP; AsbP; BM","K.4377; K.4380; K.8827; P349864; P349864; P349864; W_K-8827","shashshu-hurasu ""Sammeltafel""",0,0,,,0,0,1,0,,
