artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
108430,"BM 013882","CT 03, pl. 11, BM 013882",King1898CT3,primary,"pl. 11, BM 013882",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.07.14 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1896-03-31, 0237",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","000109; BM.13882; W_1896-0331-237"," ",0,0,,,0,0,0,0,,
108431,"BM 013883","CT 03, pl. 11, BM 013883",King1898CT3,primary,"pl. 11, BM 013883",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.05.18 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1896-03-31, 0238",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","000110; BM.13883; W_1896-0331-238"," ",0,0,,,0,0,0,0,,
108432,"BM 013884","CT 03, pl. 11, BM 013884",King1898CT3,primary,"pl. 11, BM 013884",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.12.04 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1896-03-31, 0239",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","000111; BM.13884; W_1896-0331-239"," ",0,0,,,0,0,0,0,,
108433,"BM 013885","CT 03, pl. 12, BM 013885",King1898CT3,primary,"pl. 12, BM 013885",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.06.22 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1896-03-31, 0240",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","000112; BM.13885; W_1896-0331-240"," ",0,0,,,0,0,0,0,,
108434,"BM 013886","CT 03, pl. 12, BM 013886","King1898CT3; Pettinato1976CT","primary; collation","pl. 12, BM 013886; p. 141","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.06.21 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1896-03-31, 0241",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","000113; BM.13886; W_1896-0331-241"," ",0,0,,,0,0,0,0,,
108435,"BM 013887","CT 03, pl. 12, BM 013887",King1898CT3,primary,"pl. 12, BM 013887",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.04.17 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1896-03-31, 0242",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","000114; BM.13887; W_1896-0331-242"," ",0,0,,,0,0,0,0,,
108436,"BM 013888","CT 03, pl. 13, BM 013888","King1898CT3; Pettinato1976CT","primary; collation","pl. 13, BM 013888; p. 141","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.04.02 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1896-03-31, 0243",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","000115; BM.13888; W_1896-0331-243"," ",0,0,,,0,0,0,0,,
108437,"BM 013889","CT 03, pl. 13, BM 013889",King1898CT3,primary,"pl. 13, BM 013889",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.05.28 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1896-03-31, 0244",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","000116; BM.13889; W_1896-0331-244"," ",0,0,,,0,0,0,0,,
108438,"BM 013890","CT 03, pl. 13, BM 013890","King1898CT3; Pettinato1976CT","primary; collation","pl. 13, BM 013890; p. 141","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.02.06 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1896-03-31, 0245",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","000117; BM.13890; W_1896-0331-245"," ",0,0,,,0,0,0,0,,
108439,"BM 013891","CT 03, pl. 14, BM 013891",King1898CT3,primary,"pl. 14, BM 013891",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.03.24 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1896-03-31, 0246",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","000118; BM.13891; W_1896-0331-246"," ",0,0,,,0,0,0,0,,
