artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
213190,"Ist EŞEM 01022; UM L-29-644 (cast; = CBS 09444 ?)","OIP 104, 041","Gelb1991OIP104; Hilprecht1893BE1/1; Powell1985ZA75; sec24186","primary; history; citation; history","041; pl. vi-viii; 025; ","; ; ; ","Sippar-Yahrurum (mod. Tell Abu Habbah)","Old Akkadian (ca. 2340-2200 BC)",,"Eski Şark Eserleri Müzesi, Arkeoloji Müzeleri, Istanbul, Turkey; Penn Museum, Philadelphia, Pennsylvania, USA",Legal,limestone,kudurru,,,,,,,,,,,,,Akkadian,,,,,,,,,kudurru,,0,,0,kudurru,0,,0,,,," ",0,0,,,0,0,0,0,,
216194,"CBS 08751","RIME 2.01.05.02, ex. 01","Frayne1993RIME2; Hilprecht1893BE1/1; Westenholz1987OSP2","primary; history; history","01.05.02, ex. 01; 002; 43A","; ; ","Nippur (mod. Nuffar)","Old Akkadian (ca. 2340-2200 BC)",Shar-kali-sharri.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",diorite,socket,750.0,175.0,415.0,,,,,,,,,,,,,,Q000861,,,,,"door socket",,0,"Classical Sargonic",0,"door socket",0,,0,,"Penn; eBL; ARMEP","219786; CBS.8751; P216194","witness Dos bases de puerta, 1 media luna y una tablilla, todas con la misma inscripción.",0,,,,0,0,0,0,,
216422,"CBS 01128","RIME 2.x00.00.1003, ex. 01","Frayne1993RIME2; Hilprecht1893BE1/1","primary; history","x00.00.1003, ex. 01; 012","; ","Sippar-Yahrurum (mod. Tell Abu Habbah)","Old Akkadian (ca. 2340-2200 BC)",00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",marble,vase,,,,,,,,,,,,,,,,,Q005293,,,,,vase,,1,,0,vase,0,,0,,"Penn; eBL; ARMEP","273028; CBS.1128; P216422","witness ",0,,,,0,0,0,0,,
216440,"CBS 08842 + CBS 08891 + CBS 08892a + CBS 08892b","RIME 2.01.02.11, ex. 03","Frayne1993RIME2; Hilprecht1893BE1/1","primary; history","01.02.11, ex. 03; 005","; ","Nippur (mod. Nuffar)","Old Akkadian (ca. 2340-2200 BC)",Rimush.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",dolomite,vase,,,,,,,,,,,,fragment,,,,,Q000837,,,,"P216440 leadP216440 lead",vase,,0,"Pre-Classical Sargonic",0,vase,0,,0,,"Penn; Penn; Penn; eBL; ARMEP","583693; 583694; 583695; CBS.8842; P216440","witness ",0,,,,0,0,1,0,,
216461,"CBS 08866","RIME 2.01.02.11, ex. 07 (added)","Frayne1993RIME2; Hilprecht1893BE1/1","primary; history","01.02.11, ex. 07 (added); 005, pl. 03 no. 06","; ",,"Old Akkadian (ca. 2340-2200 BC)",Rimush.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",clay,tablet,,,,,,,,,,,,,,,,,Q000837,,,,,,,0,"Pre-Classical Sargonic",0,,0,,0,,"Penn; eBL; ARMEP","583534; CBS.8866; P216461","witness ",0,,,,0,0,0,0,,
216486,"CBS 08842bis + CBS 09321","RIME 2.01.02.12, ex. 01","Frayne1993RIME2; Hilprecht1893BE1/1","primary; history","01.02.12, ex. 01; 010 (CBS 08842bis)","; ","Nippur (mod. Nuffar)","Old Akkadian (ca. 2340-2200 BC)",Rimush.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",diorite,vase,,,,,,,,,,,,,,,,,Q005192,,,,P216440P216440,vase,,0,"Pre-Classical Sargonic",0,vase,0,,0,,"Penn; Penn; eBL; ARMEP","583696; 583697; CBS.8842bis; P216486","witness ",0,,,,0,0,1,0,,
216493,"CBS 08841","RIME 2.01.02.19, ex. 01","Frayne1993RIME2; Hilprecht1893BE1/1","primary; history","01.02.19, ex. 01; 013","; ","Nippur (mod. Nuffar)","Old Akkadian (ca. 2340-2200 BC)",Rimush.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",limestone,"Wall slab",,,,,,,,,,,,,,,,,Q005194,,,,,slab,,0,"Pre-Classical Sargonic",0,slab,0,,0,,"Penn; eBL; ARMEP","583495; CBS.8841; P216493","witness ",0,,,,0,0,0,0,,
216537,"CBS 08839","RIME 2.01.02.20, ex. 05","Frayne1993RIME2; Hilprecht1893BE1/1","primary; history","01.02.20, ex. 05; 008","; ",,"Old Akkadian (ca. 2340-2200 BC)",Rimush.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",clay,tablet,,,,,,,,,,,,,Sumerian,,,,Q000843,,,,,,,0,"Pre-Classical Sargonic",0,,0,,0,,"Penn; eBL; ARMEP","583493; CBS.8839; P216537","witness ",0,0,,,0,0,0,0,,
216659,"UM — (on display)","RIME 1.14.14.03a, ex. add05 & RIME 2.01.05.01, ex. 01","Hilprecht1893BE1/1; Westenholz1987OSP2","history; history","001; 42","; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)","Lugalkigenedudu.00.00.00, Shar-kali-sharri.00.00.00","Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",diorite,socket,,,,,,,,,,,,,Sumerian,,,,Q000860,,,,,"door socket",,0,"Sargonic added to object with ED IIIb text",0,"door socket",0,,0,,"eBL; ARMEP","UM.unn.3; P216659","witness ",0,0,,,0,0,0,0,,
216851,"CBS 08888 + CBS 08888a","RIME 2.01.02.10, ex. 01","Braun-Holzinger1991HSAO3; Frayne1993RIME2; Hilprecht1893BE1/1","history; primary; history","047 K 22; 01.02.10, ex. 01; 006","; ; ","Nippur (mod. Nuffar)","Old Akkadian (ca. 2340-2200 BC)",Rimush.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",limestone,mace,167.0,,,,,,,,,,,,,,,,Q005191,,,,,"mace head",,0,"Pre-Classical Sargonic",0,"mace head",0,,0,,"Penn; eBL; eBL; ARMEP","20730; CBS.8888; CBS.8888.A; P216851","witness ",0,,,,0,0,0,0,,
