artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
365757,"BM — + BM 122634","CT 25, pl. 01-06, K 02597 +","King1909CT25; Lambert2021MC25","primary; history","pl. 01-06, K 02597 +; 508","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,,,,,,,,,,,,,,,Akkadian,,,,,,,"K 02597 + K 02944 + K 12832 + DT 355",,,,0,,0,,0,,0,,"eBL; eBL; eBL; eBL; DCCLT/Nineveh; ARMEP; AsbP; BM","DT.355; K.12832; K.2597; K.2944; P365757; P365757; P365757; W_K-12832","god list ",0,0,,,,0,0,0,,
365763,"BM —","CT 25, pl. 07, K 07662",King1909CT25,primary,"pl. 07, K 07662",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,,,,,,,,,,,,,,,Akkadian,,,,,,,"K 07662",,,,0,,0,,0,,0,,"eBL; DCCLT/Nineveh; ARMEP; AsbP; BM","K.7662; P365763; P365763; P365763; W_K-7662","god list ",0,0,,,,0,0,0,,
365765,"BM —","CT 25, pl. 09-14, K 04339",King1909CT25,primary,"pl. 09-14, K 04339",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,,,,,,,,,,,,,,,Akkadian,,,,,,,"K 04339",,,,0,,0,,0,,0,,"eBL; DCCLT/Nineveh; ARMEP; AsbP; BM","K.4339; P365765; P365765; P365765; W_K-4339","god list ",0,0,,,,0,0,0,,
365771,"BM —","CT 25, pl. 16-18, K 02100",King1909CT25,primary,"pl. 16-18, K 02100",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,,,,,,,,,,,,,,,Akkadian,,,,,,,"K 02100",,,,0,,0,,0,,0,,"eBL; DCCLT/Nineveh; ARMEP; AsbP","K.2100; P365771; P365771; P365771","god list ",0,0,,,,0,0,0,,
365775,"BM —","CT 25, pl. 19, Sm 1447",King1909CT25,primary,"pl. 19, Sm 1447",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,,,,,,,,,,,,,,,Akkadian,,,,,,,"Sm 1447",,,,0,,0,,0,,0,,"eBL; DCCLT; ARMEP; AsbP","Sm.1447; P365775; P365775; P365775","god list ",0,0,,,,0,0,0,,
365776,"BM —","CT 25, pl. 19-20, K 00215 +","King1909CT25; Lambert2021MC25","primary; history","pl. 19-20, K 00215 +; 497-499","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,,,,,,,,,,,,,,,Akkadian,,,,,,,"K 00215 + K 02105+ K 02110 + K 04343 + K 14760 + K 17794",,,,0,,0,,0,,0,,"eBL; eBL; eBL; DCCLT/Nineveh; ARMEP; AsbP; BM","K.17794; K.2105; K.215; P365776; P365776; P365776; W_K-2105","god list ",0,0,,,,0,0,0,,
365777,"BM —","CT 25, pl. 21, Rm 2, 0032",King1909CT25,primary,"pl. 21, Rm 2, 0032",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,,,,,,,,,,,,,,,Akkadian,,,,,,,"Rm 2, 032",,,,0,,0,,0,,0,,"eBL; DCCLT/Nineveh; ARMEP; AsbP; BM","Rm-II.32; P365777; P365777; P365777; W_Rm-II-32","god list ",0,0,,,,0,0,0,,
365778,"BM —","CT 25, pl. 22-23, K 00266","King1909CT25; King1909CT25; King1910CT 29; Litke1998TBC3","primary; history; history; history","pl. 22-23, K 00266; pl. 39 (K 02098); 47 (Sm 0941); 199","; ; ; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 00266 + K 02098 + Sm 0941",,,,0,,0,,0,,0,,"eBL; DCCLT/Nineveh; ARMEP; AsbP; BM","K.266; P365778; P365778; P365778; W_K-266","god list ",0,0,,,0,0,0,0,,
365779,"BM —","CT 25, pl. 23, K 06037","King1909CT25; Lambert2021MC25; Meek1920RA17","primary; history; history","pl. 23, K 06037; 512; 159 (K 08220)","; ; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,,,,,,,,,,,,,,,Akkadian,,,,,,,"K 06037 + K 08220 + K 11194 + K 14754",,,,0,,0,,0,,0,,"eBL; DCCLT/Nineveh; ARMEP; AsbP; BM","K.6037; P365779; P365779; P365779; W_K-6037","god list ",0,0,,,,0,0,0,,
365780,"BM —","CT 25, pl. 24, K 08219",King1909CT25,primary,"pl. 24, K 08219",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,,,,,,,,,,,,,,,Akkadian,,,,,,,"K 08219",,,,0,,0,,0,,0,,"eBL; DCCLT/Nineveh; ARMEP; AsbP; BM","K.8219; P365780; P365780; P365780; W_K-8219","god list ",0,0,,,,0,0,0,,
