artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
238703,"BM —","CT 26, pl. 44","King1909CT26; Weidner1959Astrologischer","primary; history","44; 105-113 (text C) ","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 08067",,,,0,,0,,0,,0,,"eBL; ARMEP; AsbP; BM","K.8067; P238703; P238703; W_K-8067",,,0,,,0,0,0,0,,
365851,"BM —","CT 26, pl. 45 K 02067",King1909CT26,primary,"45 K 02067",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 02067",,,,0,,0,,0,,0,,BM,W_K-2067,,,0,,,0,0,0,0,,
368627,"BM —","CT 25, pl. 30-31, K 02109 +","King1909CT25; King1909CT26; Lambert2021MC25","primary; history; history","pl. 30-31, K 02109 +; 49 (K 06093); 525","; ; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Lexical,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 02109 + K 02121 + K 05041 + K 06093 + K 07649 + K 08944 + K 13689 + K 13703 + K 14753 + K 16225 + K 16880 + K 17081 + K 18864",,,,0,,0,,0,,0,,"eBL; eBL; eBL; eBL; eBL; eBL; DCCLT/Nineveh; ARMEP; AsbP; BM","K.13689; K.16880; K.17081; K.18864; K.2109; K.8944; P368627; P368627; P368627; W_K-13689","god list ",0,0,,,0,0,0,0,,
393808,"BM —","CT 26, pl. 40-41 K 00250 +","King1909CT26; King1909CT26; King1909CT26; King1910CT 29; King1914CT34","primary; history; history; history; history","40-41 K 00250 +; 46 (K 07625); 50 (K 13677); 47 (K 07646); pl. 14 (K 16242)","; ; ; ; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 00250 + K 07646 + K 07625 + K 11184 + K 13677 + K 13709 + K 16242",,,,0,,0,,0,,0,,"eBL; eBL; eBL; eBL; eBL; eBL; eBL; ARMEP; AsbP; BM","K.11184; K.13677; K.13709; K.16242; K.250; K.7625; K.7646; P393808; P393808; W_K-7625",,,0,,,0,0,0,0,,
393966,"BM 022508 + ","RINAP 3/1 Sennacherib 015, ex. 001","Grayson2012RINAP3/1; King1909CT26","primary; history","015, ex. 001; 38","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",Sennacherib.08.--.--,"British Museum, London, UK","Official or display",clay,prism,,,,,,,,,,,,,Akkadian,,,,Q003489,,,"K 01674 + 1881-02-04, 0044 + 1881-02-04, 0169 + 1882-05-22, 0012 + 1883-01-18, 0598",,,,0,,0,,0,,0,,"eBL; eBL; eBL; eBL; eBL; RINAP Sources; ARMEP; AsbP","1881,0204.169; 1881,0204.44; 1882,0522.12; 1883,0118.598; K.1674; P393966; P393966; P393966","witness ",0,0,,,0,0,0,0,,
395441,"BM —","CT 26, pl. 42-43 K 04195",King1909CT26,primary,"42-43 K 04195",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 04195",,,,0,,0,,0,,0,,"eBL; ARMEP; AsbP; BM","K.4195; P395441; P395441; W_K-4195",,,0,,,0,0,0,0,,
395494,"BM —","CT 26, pl. 48 K 04347a",King1909CT26,primary,"48 K 04347a",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 04347a",,,,0,,0,,0,,0,,BM,W_K-4347-a,,,0,,,0,0,0,0,,
395588,"BM —","RINAP 3/2 Sennacherib 151, ex. 001","Grayson2014RINAP3/2; King1909CT26","primary; history","Sennacherib 151, ex. 001; 39","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",Sennacherib.00.00.00,"British Museum, London, UK","Official or display",clay,tablet,53.0,22.0,46.0,,,,,,,,,,Akkadian,,,,Q003956,,,"K 04492",,,,0,,0,,0,,0,,"eBL; RINAP Sources; ARMEP; AsbP; BM","K.4492; P395588; P395588; P395588; W_K-4492","witness ",0,0,,,0,0,0,0,,
396965,"BM —","CT 26, pl. 48 K 07010",King1909CT26,primary,"48 K 07010",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 07010",,,,0,,0,,0,,0,,"eBL; AsbP; BM","K.7010; P396965; W_K-7010",,,0,,,0,0,0,0,,
397006,"BM —","CT 26, pl. 49 K 07069",King1909CT26,primary,"49 K 07069",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 07069",,,,0,,0,,0,,0,,"eBL; AsbP; BM","K.7069; P397006; W_K-7069",,,0,,,0,0,0,0,,
